Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Cheng, Chung Kuan",CSE 140 - Component&Desgn Tech/Digtl Sys (A),SP09,91,43,85.4 %,82.9 %,6.13,B (3.10),B+ (3.38)
"Cheng, Chung Kuan",CSE 140L - Digital Systems Laboratory (A),SP09,96,35,91.4 %,85.7 %,9.76,A- (3.71),A- (3.85)
"Swanson, Steven James",CSE 141 - Intro/Computer Architecture (A),SP09,16,14,100.0 %,92.3 %,8.35,B+ (3.36),B (3.18)
"Swanson, Steven James",CSE 141L - Project/Computer Architecture (A),SP09,16,8,100.0 %,100.0 %,17.75,A- (3.75),N/A
"Gupta, Rajesh K.",CSE 143 - Microelectronic System Design (A),SP09,5,5,100.0 %,100.0 %,2.9,A- (3.80),N/A
"Taylor, Michael",CSE 148 - Adv Processor Arch Design Proj (A),SP09,8,8,100.0 %,100.0 %,15.5,A- (3.83),N/A
"Tullsen, Dean Michael",CSE 148 - Adv Processor Arch Design Proj (A),SP09,8,8,100.0 %,100.0 %,15.5,A- (3.83),N/A
"Saul, Lawrence",CSE 150 - Int Artif Intell:Search&Reason (A),SP09,36,31,96.8 %,100.0 %,5.92,B (3.19),B (3.16)
"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (A),SP09,35,33,81.8 %,81.8 %,2.68,B+ (3.48),B- (2.96)
"Pevzner, Pavel Arkadjevich",CSE 181 - Molecular Sequence Analysis (A),SP09,9,9,100.0 %,100.0 %,9.5,B+ (3.50),N/A
"Dasgupta, Sanjoy",CSE 190 - Topics/Computer Sci & Engineer (A),SP09,18,14,78.6 %,100.0 %,5.79,B+ (3.69),B- (2.96)
"Freund, Yoav",CSE 190 - Topics/Computer Sci & Engineer (A),SP09,18,13,76.9 %,30.8 %,5.58,B+ (3.69),B- (2.96)
"Kube, Paul Richard",CSE 100 - Advanced Data Structures (A),WI09,53,29,92.9 %,85.2 %,10.91,B (3.21),B (3.03)
"Dasgupta, Sanjoy",CSE 101 - Design & Analysis of Algorithm (A),WI09,66,26,84.6 %,96.2 %,8.74,B (3.08),B- (2.86)
"Israeli, Amos",CSE 105 - Intro/Theory of Computation (A),WI09,41,30,69.0 %,65.5 %,6.98,B- (2.90),C+ (2.58)
"Bellare, Mihir",CSE 107 - Intro/Modern Cryptography (A),WI09,22,15,93.3 %,93.3 %,4.5,B (3.29),B (3.19)
"Kube, Paul Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),WI09,47,18,88.9 %,88.2 %,10.72,B (3.29),B (3.00)
"Dahlstrom, Dana B.",CSE 110 - Software Engineering (A),WI09,48,38,84.2 %,76.3 %,7.64,B+ (3.50),B- (2.88)
"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (A),WI09,84,72,93.0 %,90.3 %,14.19,B+ (3.31),B- (2.74)
"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (A),WI09,44,37,94.3 %,91.4 %,8.39,B (3.21),B- (2.92)
"Snoeren, Alex C.",CSE 121 - Oper Systms:Architc&Implementn (A),WI09,9,7,100.0 %,100.0 %,7.07,B (3.29),N/A
"Lerner, Sorin",CSE 130 - Progrmng Lang:Princpl&Paradigm (A),WI09,44,27,92.6 %,92.6 %,9.54,B (3.08),B (3.04)
"Jhala, Ranjit",CSE 130 - Progrmng Lang:Princpl&Paradigm (B),WI09,37,27,100.0 %,100.0 %,9.54,B+ (3.48),B- (2.97)
"Ord, Richard",CSE 131 - Compiler Construction (A),WI09,62,49,87.8 %,98.0 %,16.54,B+ (3.32),B- (2.80)
"Vianu, Victor Dan",CSE 132A - Database System Principles (A),WI09,29,23,78.3 %,78.3 %,6.41,B (3.22),C+ (2.56)
"Papakonstantinou, Yannis",CSE 135 - Server-side Web Applications (A),WI09,51,33,81.8 %,57.6 %,4.56,B+ (3.38),B (3.26)
"Rosing, Tajana Simunic",CSE 140 - Component&Desgn Tech/Digtl Sys (A),WI09,26,22,100.0 %,95.5 %,7.77,B+ (3.41),B (3.10)
"Rosing, Tajana Simunic",CSE 140L - Digital Systems Laboratory (A),WI09,22,19,89.5 %,89.5 %,7.45,B+ (3.53),B (3.03)
"Tullsen, Dean Michael",CSE 141 - Intro/Computer Architecture (A),WI09,39,32,93.5 %,93.5 %,7,B+ (3.48),C+ (2.68)
"Tullsen, Dean Michael",CSE 141L - Project/Computer Architecture (A),WI09,44,27,92.3 %,100.0 %,10.13,B+ (3.67),B+ (3.62)
"Baden, Scott B.",CSE 15L - Software Tools&Techniques Lab (A),WI09,38,31,64.5 %,64.5 %,2.44,B (3.27),B- (3.00)
"Elkan, Charles Peter",CSE 15L - Software Tools&Techniques Lab (B),WI09,50,48,62.5 %,63.8 %,2.13,B+ (3.57),B (3.04)
"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (C),WI09,36,33,75.0 %,87.9 %,2.81,B+ (3.70),B (3.03)
"Rotenberg, Steven Paul",CSE 169 - Computer Animation (A),WI09,14,11,100.0 %,100.0 %,7.77,A- (3.70),N/A
"Wang, Wei",CSE 184 - Computational Molecular Biol. (A),WI09,4,8,100.0 %,100.0 %,11,A- (3.75),N/A
"Belongie, Serge J.",CSE 190 - Topics/Computer Sci & Engineer (A),WI09,9,10,100.0 %,100.0 %,8.3,A (4.00),N/A
"Lee, Cynthia Bailey",CSE 100 - Advanced Data Structures (A),FA08,58,35,82.9 %,85.7 %,14.56,B (3.18),B- (2.72)
"Kahng, Andrew Byun",CSE 101 - Design & Analysis of Algorithm (A),FA08,58,29,85.2 %,60.7 %,7.74,B (3.04),B- (2.72)
"Freund, Yoav",CSE 103 - Practical Intro/Prob & Stats (A),FA08,10,8,75.0 %,62.5 %,6.75,B+ (3.38),N/A
"Israeli, Amos",CSE 105 - Intro/Theory of Computation (A),FA08,51,25,80.0 %,84.0 %,7.22,B (3.00),C+ (2.65)
"Ord, Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),FA08,106,61,95.0 %,96.7 %,8.83,B+ (3.68),B (3.07)
"Dahlstrom, Dana B.",CSE 110 - Software Engineering (A),FA08,24,23,68.2 %,95.5 %,5.5,B+ (3.65),B (3.27)
"Krueger, Ingolf",CSE 112 - Software Engineerng (A),FA08,10,10,80.0 %,100.0 %,6.7,B+ (3.38),N/A
"Griswold, William G.",CSE 118 - Ubiquitous Computing (A),FA08,13,12,100.0 %,100.0 %,3.95,B+ (3.64),N/A
"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (A),FA08,65,48,84.8 %,85.1 %,11.75,B (3.22),B- (2.75)
"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (A),FA08,59,34,93.9 %,90.6 %,8.44,B (3.03),B- (2.90)
"Varghese, George",CSE 123 - Computer Networks (A),FA08,36,31,93.5 %,96.8 %,6.11,B (3.11),B (3.25)
"Shacham, Hovav",CSE 127 - Intro/Computer Security (A),FA08,15,9,100.0 %,100.0 %,9.39,B+ (3.44),N/A
"Jhala, Ranjit",CSE 130 - Progrmng Lang:Princpl&Paradigm (A),FA08,76,33,96.8 %,100.0 %,8.13,A- (3.81),B+ (3.35)
"Deutsch, Alin Bernard",CSE 132A - Database System Principles (A),FA08,33,19,73.7 %,84.2 %,5.66,B+ (3.50),B (3.11)
"Orailoglu, Alex",CSE 140 - Component&Desgn Tech/Digtl Sys (A),FA08,18,14,85.7 %,78.6 %,6.21,B (3.07),N/A
"Orailoglu, Alex",CSE 140L - Digital Systems Laboratory (A),FA08,17,15,80.0 %,86.7 %,7.7,B (3.27),B+ (3.33)
"Taylor, Michael",CSE 141 - Intro/Computer Architecture (A),FA08,42,28,75.0 %,85.7 %,10.43,B (3.12),B (3.09)
"Taylor, Michael",CSE 141L - Project/Computer Architecture (A),FA08,39,18,75.0 %,75.0 %,15.32,B+ (3.41),B+ (3.38)
"Elkan, Charles Peter",CSE 151 - Intro to A.I. Stats Approach (A),FA08,14,10,90.0 %,60.0 %,7.9,B (3.10),N/A
"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (A),FA08,35,30,82.1 %,85.7 %,2.71,B+ (3.53),B- (2.98)
"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (B),FA08,32,32,71.9 %,78.1 %,2.56,B+ (3.42),B- (2.98)
"Baden, Scott B.",CSE 160 - Intro to Parallel Computing (A),FA08,45,31,66.7 %,66.7 %,5.9,B+ (3.43),B- (2.86)
"Schulze, Jurgen P.",CSE 167 - Computer Graphics (A),FA08,26,21,95.0 %,95.0 %,12.02,B+ (3.39),B (3.23)
"Bafna, Vineet",CSE 182 - Biological Databases (A),FA08,10,9,100.0 %,100.0 %,9.83,B+ (3.63),N/A
"Cottrell, Garrison W",CSE 190 - Topics/Computer Sci & Engineer (A),FA08,7,8,87.5 %,100.0 %,8.25,B+ (3.43),N/A
"Paturi, Ramamohan",CSE 101 - Design & Analysis of Algorithm (A),SU08,17,16,87.5 %,93.8 %,7.38,B (3.00),N/A
"Lyubashevsky, Vadim",CSE 105 - Intro/Theory of Computation (A),SU08,13,10,80.0 %,90.0 %,8.9,C+ (2.60),N/A
"Cicotti, Pietro",CSE 110 - Software Engineering (A),SU08,17,11,90.9 %,81.8 %,6.5,B+ (3.60),N/A
"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (A),SU08,28,26,96.2 %,100.0 %,15.96,B- (2.87),N/A
"AuYoung, Alvin",CSE 120 - Princ/Computer Operating Systm (A),SU08,17,14,100.0 %,100.0 %,17.88,B (3.14),N/A
"Dahlstrom, Dana B.",CSE 130 - Progrmng Lang:Princpl&Paradigm (A),SU08,8,6,83.3 %,100.0 %,12.17,B- (2.83),N/A
"Powell, Thomas Allan",CSE 134B - Web Client Languages (A),SU08,24,7,85.7 %,85.7 %,10.5,B+ (3.43),N/A
"Powell, Thomas Allan",CSE 135 - Server-side Web Applications (A),SU08,27,20,100.0 %,100.0 %,15.6,B+ (3.33),N/A
"Chu, Isaac Y",CSE 140 - Component&Desgn Tech/Digtl Sys (A),SU08,38,30,93.1 %,100.0 %,7.37,B+ (3.48),N/A
"Chu, Isaac Y",CSE 140L - Digital Systems Laboratory (A),SU08,31,25,92.0 %,100.0 %,8.25,A- (3.83),N/A
"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (A),SU08,12,11,88.9 %,100.0 %,4.5,A- (3.89),N/A
"Burkhard, Walter A.",CSE 100 - Advanced Data Structures (A),SP08,65,30,90.0 %,40.0 %,8.03,B (3.21),B- (2.87)
"Burkhard, Walter A.",CSE 101 - Design & Analysis of Algorithm (A),SP08,53,36,80.0 %,38.9 %,6.33,B (3.19),B- (2.90)
"Micciancio, Daniele",CSE 105 - Intro/Theory of Computation (A),SP08,58,28,82.1 %,75.0 %,6.71,B- (2.81),B- (2.97)
"Kube, Paul Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),SP08,26,13,100.0 %,92.3 %,7.73,B (3.22),C+ (2.61)
"Dahlstrom, Dana B.",CSE 110 - Software Engineering (A),SP08,51,36,88.2 %,85.3 %,8.5,B+ (3.63),B- (2.85)
"Howden, William E.",CSE 111 - Objt. Oriented Software Design (A),SP08,36,19,68.4 %,68.4 %,5.34,B+ (3.56),B (3.09)
"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (A),SP08,84,61,91.7 %,96.7 %,15.07,B (3.22),C+ (2.66)
"Snoeren, Alex C.",CSE 120 - Princ/Computer Operating Systm (A),SP08,64,56,88.7 %,96.3 %,12.29,B (3.19),B- (2.95)
"Varghese, George",CSE 123 - Computer Networks (A),SP08,30,21,81.0 %,90.5 %,3.64,B+ (3.30),B+ (3.53)
"Voelker, Geoffrey M.",CSE 125 - Software Sys Design & Implemnt (A),SP08,22,23,95.7 %,100.0 %,18.67,A- (3.91),A- (3.99)
"Savage, Stefan Roberts",CSE 127 - Intro/Computer Security (A),SP08,58,41,100.0 %,100.0 %,2.7,A- (3.76),B- (2.94)
"Ord, Richard",CSE 131 - Compiler Construction (A),SP08,54,48,93.6 %,93.6 %,15.83,B+ (3.32),C+ (2.65)
"Deutsch, Alin Bernard",CSE 132B - Database System Applications (A),SP08,12,11,90.9 %,100.0 %,9.95,A- (3.82),N/A
"Rosing, Tajana Simunic",CSE 140 - Component&Desgn Tech/Digtl Sys (A),SP08,43,31,64.5 %,22.6 %,9.66,B- (2.87),C+ (2.45)
"Rosing, Tajana Simunic",CSE 140L - Digital Systems Laboratory (A),SP08,38,27,63.0 %,33.3 %,13.46,B (3.04),B- (2.97)
"Taylor, Michael",CSE 141 - Intro/Computer Architecture (A),SP08,18,17,93.8 %,87.5 %,5.79,B+ (3.31),B (3.09)
"Taylor, Michael",CSE 141L - Project/Computer Architecture (A),SP08,10,9,55.6 %,77.8 %,14.5,A- (3.75),N/A
"Saul, Lawrence",CSE 150 - Int Artif Intell:Search&Reason (A),SP08,24,21,95.2 %,100.0 %,6.5,B+ (3.39),B- (2.97)
"Baden, Scott B.",CSE 15L - Software Tools&Techniques Lab (A),SP08,39,36,91.7 %,86.1 %,2.17,B+ (3.61),B- (2.92)
"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (B),SP08,21,20,90.0 %,100.0 %,2.1,B+ (3.65),B+ (3.32)
"Zwicker, Matthias Beat",CSE 167 - Computer Graphics (A),SP08,18,10,88.9 %,100.0 %,16.1,B (3.00),B (3.16)
"Jensen, Henrik",CSE 168 - Computer Graphics II:Rendering (A),SP08,13,14,100.0 %,100.0 %,11.93,A- (3.85),N/A
"Pevzner, Pavel Arkadjevich",CSE 181 - Molecular Sequence Analysis (A),SP08,15,14,78.6 %,85.7 %,7.21,B (3.14),N/A
"Burkhard, Walter A.",CSE 100 - Advanced Data Structures (A),WI08,48,24,90.9 %,81.8 %,6,B+ (3.36),C+ (2.67)
"Kahng, Andrew Byun",CSE 101 - Design & Analysis of Algorithm (A),WI08,39,28,78.6 %,78.6 %,8.36,B- (2.96),B- (2.94)
"Micciancio, Daniele",CSE 105 - Intro/Theory of Computation (A),WI08,42,31,80.6 %,96.8 %,4.77,B+ (3.41),B- (2.93)
"Bellare, Mihir",CSE 107 - Intro/Modern Cryptography (A),WI08,12,9,100.0 %,88.9 %,6.06,B (3.00),B+ (3.33)
"Kube, Paul Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),WI08,27,14,84.6 %,83.3 %,7.79,B (3.15),B- (2.81)
"Dahlstrom, Dana B.",CSE 110 - Software Engineering (A),WI08,46,31,65.5 %,72.4 %,6.44,A- (3.71),B (3.05)
"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (A),WI08,48,39,87.2 %,84.2 %,13.94,B (3.14),B- (2.71)
"Shacham, Hovav",CSE 127 - Intro/Computer Security (A),WI08,3,5,100.0 %,100.0 %,10.5,B (3.00),N/A
"Lerner, Sorin",CSE 130 - Progrmng Lang:Princpl&Paradigm (A),WI08,76,47,93.6 %,97.9 %,8.12,B+ (3.49),B (3.15)
"Ord, Richard",CSE 131 - Compiler Construction (A),WI08,83,71,86.8 %,98.6 %,15.81,B+ (3.37),B- (2.86)
"Vianu, Victor Dan",CSE 132A - Database System Principles (A),WI08,35,21,63.2 %,75.0 %,4.79,B+ (3.43),B (3.01)
"Powell, Thomas Allan",CSE 135 - Server-side Web Applications (A),WI08,96,54,92.6 %,90.7 %,7.91,B (3.20),B- (2.96)
"Orailoglu, Alex",CSE 140 - Component&Desgn Tech/Digtl Sys (A),WI08,17,15,80.0 %,66.7 %,9.03,C+ (2.67),B- (2.94)
"Orailoglu, Alex",CSE 140L - Digital Systems Laboratory (A),WI08,17,14,71.4 %,57.1 %,10.07,B (3.00),B (3.07)
"Swanson, Steven James",CSE 141 - Intro/Computer Architecture (A),WI08,44,38,59.5 %,42.9 %,7.24,B (3.03),B (3.06)
"Swanson, Steven James",CSE 141L - Project/Computer Architecture (A),WI08,38,23,39.1 %,30.4 %,17.46,B+ (3.42),B+ (3.54)
"Gupta, Rajesh K.",CSE 143 - Microelectronic System Design (A),WI08,12,7,100.0 %,71.4 %,6.79,B (3.29),N/A
"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (A),WI08,31,27,92.6 %,92.3 %,1.83,B+ (3.63),B (3.17)
"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (B),WI08,31,30,93.3 %,96.7 %,2.17,A- (3.72),B (3.17)
"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (C),WI08,33,32,75.0 %,84.4 %,2.82,A- (3.73),B (3.17)
"Rotenberg, Steven Paul",CSE 169 - Computer Animation (A),WI08,24,23,100.0 %,100.0 %,9.2,B+ (3.57),B+ (3.47)
"Wang, Wei",CSE 184 - Computational Molecular Biol. (A),WI08,15,8,75.0 %,75.0 %,9.25,N/A,N/A
"Belongie, Serge J.",CSE 190 - Topics/Computer Sci & Engineer (A),WI08,6,7,100.0 %,100.0 %,6.5,A- (3.83),N/A
"Kube, Paul Richard",CSE 100 - Advanced Data Structures (A),FA07,41,27,88.9 %,92.3 %,13.46,B (3.13),B- (2.97)
"Dasgupta, Sanjoy",CSE 101 - Design & Analysis of Algorithm (A),FA07,58,48,72.9 %,93.8 %,9.71,B (3.27),B- (2.91)
"Freund, Yoav",CSE 103 - Practical Intro/Prob & Stats (A),FA07,13,13,46.2 %,69.2 %,5.58,B (3.00),N/A
"Paturi, Ramamohan",CSE 105 - Intro/Theory of Computation (A),FA07,36,29,84.6 %,96.3 %,5.46,B+ (3.50),B+ (3.30)
"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),FA07,40,27,92.3 %,92.3 %,8.5,B+ (3.44),B- (2.85)
"Howden, William E.",CSE 111 - Objt. Oriented Software Design (A),FA07,15,10,70.0 %,70.0 %,6.7,B+ (3.50),N/A
"Griswold, William G.",CSE 118 - Ubiquitous Computing (A),FA07,7,5,100.0 %,100.0 %,8.5,A (4.00),N/A
"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (A),FA07,86,66,89.4 %,84.4 %,12.98,B (3.18),C+ (2.57)
"Marzullo, Keith",CSE 120 - Princ/Computer Operating Systm (A),FA07,78,47,86.7 %,88.9 %,10.2,B+ (3.30),B- (2.77)
"Vahdat, Mohammed Amin",CSE 124 - Networked Services (A),FA07,25,21,95.2 %,95.2 %,9.4,B+ (3.30),B+ (3.34)
"Jhala, Ranjit",CSE 130 - Progrmng Lang:Princpl&Paradigm (A),FA07,66,57,89.3 %,96.4 %,8.57,B+ (3.57),B (3.24)
"Vianu, Victor Dan",CSE 132A - Database System Principles (A),FA07,25,12,66.7 %,66.7 %,5.5,B+ (3.33),C+ (2.62)
"Powell, Thomas Allan",CSE 134B - Web Client Languages (A),FA07,28,15,100.0 %,100.0 %,6.5,B+ (3.43),B (3.11)
"Chu, Isaac Y",CSE 140 - Component&Desgn Tech/Digtl Sys (A),FA07,47,40,100.0 %,100.0 %,5.85,B+ (3.58),B (3.03)
"Chu, Isaac Y",CSE 140L - Digital Systems Laboratory (A),FA07,46,29,100.0 %,100.0 %,4.5,A- (3.92),B+ (3.47)
"Tullsen, Dean Michael",CSE 141 - Intro/Computer Architecture (A),FA07,32,23,90.9 %,81.8 %,6.76,B (3.14),B- (2.88)
"Tullsen, Dean Michael",CSE 141L - Project/Computer Architecture (A),FA07,22,12,75.0 %,75.0 %,12,B (3.17),B (3.06)
"Elkan, Charles Peter",CSE 151 - Intro to A.I. Stats Approach (A),FA07,22,15,80.0 %,86.7 %,7.57,B (3.20),B (3.07)
"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (A),FA07,13,13,100.0 %,100.0 %,3.42,A- (3.92),B+ (3.59)
"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (B),FA07,7,7,100.0 %,100.0 %,1.07,A (4.00),B+ (3.59)
"Belongie, Serge J.",CSE 166 - Image Processing (A),FA07,20,17,88.2 %,94.1 %,7.25,B+ (3.53),B+ (3.63)
"Zwicker, Matthias Beat",CSE 167 - Computer Graphics (A),FA07,21,14,92.9 %,85.7 %,12.21,B+ (3.50),B+ (3.66)
"Bafna, Vineet",CSE 182 - Biological Databases (A),FA07,15,13,84.6 %,92.3 %,10.04,B+ (3.54),N/A
"Glick, John Edward",CSE 100 - Advanced Data Structures (A),SU07,30,23,95.7 %,100.0 %,10.41,B+ (3.65),N/A
"Paturi, Ramamohan",CSE 101 - Design & Analysis of Algorithm (A),SU07,23,16,93.8 %,93.8 %,9.17,B+ (3.33),N/A
"Paturi, Ramamohan",CSE 105 - Intro/Theory of Computation (A),SU07,20,14,64.3 %,85.7 %,9.27,B (3.15),N/A
"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),SU07,13,11,100.0 %,90.9 %,10.14,B- (2.90),N/A
"Rhodes, Neil Campbell",CSE 120 - Princ/Computer Operating Systm (A),SU07,44,33,90.9 %,97.0 %,15.95,B (3.16),N/A
"Shonle, Macneil Charles",CSE 130 - Progrmng Lang:Princpl&Paradigm (A),SU07,17,12,83.3 %,100.0 %,8.5,B+ (3.42),N/A
"Powell, Thomas Allan",CSE 134B - Web Client Languages (A),SU07,30,25,100.0 %,100.0 %,8.33,B+ (3.48),N/A
"Powell, Thomas Allan",CSE 135 - Server-side Web Applications (A),SU07,30,16,100.0 %,93.8 %,7.5,B+ (3.46),N/A
"Chu, Isaac Y",CSE 140 - Component&Desgn Tech/Digtl Sys (A),SU07,14,12,100.0 %,100.0 %,7.5,B+ (3.58),N/A
"Chu, Isaac Y",CSE 140L - Digital Systems Laboratory (A),SU07,11,5,100.0 %,100.0 %,4.5,A (4.00),N/A
"Lee, Cynthia Bailey",CSE 141 - Intro/Computer Architecture (A),SU07,28,24,100.0 %,100.0 %,7.54,B (3.21),N/A
"Lee, Cynthia Bailey",CSE 141L - Project/Computer Architecture (A),SU07,27,11,81.8 %,100.0 %,11.1,B+ (3.55),N/A
"Bach, Quang Tran",CSE 20 - Intro/Discrete Mathematics (A),S219,26,6,100.0 %,80.0 %,7.17,B+ (3.67),B+ (3.50)
"Braun, Oliver",CSE 21 - Math/Algorithm&Systems Analys (A),S219,37,32,81.3 %,87.5 %,6.56,B (3.00),B- (2.72)
"Bach, Quang Tran",CSE 21 - Math/Algorithm&Systems Analys (B),S219,35,13,92.3 %,83.3 %,7.73,B+ (3.54),B- (2.88)
"Bach, Quang Tran",CSE 20 - Intro/Discrete Mathematics (A),S119,30,9,100.0 %,100.0 %,7.39,B+ (3.44),B- (2.79)
"Bach, Quang Tran",CSE 21 - Math/Algorithm&Systems Analys (A),S119,40,15,92.3 %,84.6 %,6.33,B+ (3.31),C+ (2.66)
"Minnes Kemp, Mor Mia",CSE 20 - Intro/Discrete Mathematics (A),SP19,161,117,87.9 %,94.8 %,7.82,B (3.23),B- (2.82)
"Politz, Joseph Gibbs",CSE 20 - Intro/Discrete Mathematics (B),SP19,163,125,87.8 %,97.5 %,7.91,B+ (3.35),B- (2.87)
"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (A),SP19,146,57,86.8 %,90.6 %,7.14,B+ (3.43),B (3.17)
"Bach, Quang Tran",CSE 21 - Math/Algorithm&Systems Analys (B),SP19,164,64,94.9 %,98.3 %,8.09,B+ (3.52),B- (2.92)
"Bach, Quang Tran",CSE 20 - Intro/Discrete Mathematics (A),WI19,250,110,88.6 %,94.2 %,7.2,B (3.22),B (3.23)
"Kahng, Andrew Byun",CSE 21 - Math/Algorithm&Systems Analys (A),WI19,142,51,95.8 %,93.6 %,7.38,B+ (3.43),B (3.08)
"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (B),WI19,155,45,88.1 %,95.2 %,6.35,B (3.29),B (3.10)
"Jones, Miles E",CSE 20 - Intro/Discrete Mathematics (A),FA18,165,71,79.4 %,87.7 %,7.41,B (3.28),C+ (2.61)
"Cosman, Benjamin Leverett",CSE 20 - Intro/Discrete Mathematics (B),FA18,74,35,83.9 %,87.1 %,7.92,B (3.29),C (2.29)
"Bach, Quang Tran",CSE 21 - Math/Algorithm&Systems Analys (A),FA18,373,183,86.3 %,93.1 %,8.8,B (3.05),B (3.03)
"Braun, Oliver",CSE 21 - Math/Algorithm&Systems Analys (A),S218,38,35,85.7 %,94.3 %,5.64,B+ (3.42),B+ (3.44)
"Micciancio, Daniele",CSE 20 - Intro/Discrete Mathematics (A),SP18,125,47,78.3 %,78.3 %,5.67,B+ (3.40),C+ (2.51)
"Micciancio, Daniele",CSE 20 - Intro/Discrete Mathematics (B),SP18,128,52,76.0 %,78.0 %,6.02,B (3.23),C+ (2.51)
"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (A),SP18,170,57,87.5 %,83.9 %,6.96,B (3.18),B (3.20)
"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (B),SP18,149,56,74.5 %,84.0 %,6.16,B (3.25),B (3.20)
"Vardy, Alexander",CSE 20 - Intro/Discrete Mathematics (A),WI18,317,284,94.0 %,90.7 %,6.38,B+ (3.41),B- (2.93)
"Bach, Quang Tran",CSE 21 - Math/Algorithm&Systems Analys (A),WI18,136,74,86.6 %,94.0 %,7.32,B+ (3.37),B (3.17)
"Bach, Quang Tran",CSE 21 - Math/Algorithm&Systems Analys (B),WI18,124,63,91.7 %,91.7 %,7.55,B+ (3.37),B (3.17)
"Minnes Kemp, Mor Mia",CSE 20 - Intro/Discrete Mathematics (A),FA17,154,92,88.8 %,97.7 %,7.66,B (3.29),B (3.03)
"Minnes Kemp, Mor Mia",CSE 20 - Intro/Discrete Mathematics (B),FA17,114,76,97.3 %,98.7 %,7.91,B+ (3.32),B (3.03)
"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (A),FA17,164,60,94.5 %,85.5 %,8.54,B+ (3.38),B (3.24)
"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (B),FA17,194,94,90.9 %,93.1 %,7.94,B+ (3.32),B (3.24)
"Braun, Oliver",CSE 21 - Math/Algorithm&Systems Analys (A),S217,85,38,83.8 %,94.1 %,7.28,B+ (3.39),N/A
"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (B),S217,17,7,100.0 %,100.0 %,15.17,B+ (3.67),N/A
"Vardy, Alexander",CSE 20 - Intro/Discrete Mathematics (A),SP17,203,103,84.2 %,78.9 %,7.45,B+ (3.34),B- (2.91)
"Tiefenbruck, Janine LoBue",CSE 21 - Math/Algorithm&Systems Analys (A),SP17,142,59,89.1 %,94.5 %,6.15,B+ (3.62),C+ (2.59)
"Tiefenbruck, Janine LoBue",CSE 21 - Math/Algorithm&Systems Analys (B),SP17,141,46,84.1 %,95.5 %,7.62,B+ (3.36),C+ (2.59)
"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (C),SP17,138,43,70.7 %,80.5 %,7.5,B (3.14),B- (2.84)
"Minnes Kemp, Mor Mia",CSE 20 - Intro/Discrete Mathematics (A),WI17,267,210,89.7 %,97.5 %,6.69,B+ (3.68),B (3.16)
"Minnes Kemp, Mor Mia",CSE 20 - Intro/Discrete Mathematics (B),WI17,101,83,90.4 %,97.6 %,7.28,B+ (3.65),B (3.16)
"Kahng, Andrew Byun",CSE 21 - Math/Algorithm&Systems Analys (A),WI17,151,54,94.1 %,92.2 %,7.06,B+ (3.50),B (3.20)
"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (B),WI17,145,48,90.5 %,69.0 %,6.26,B+ (3.30),B- (2.99)
"Lovett, Shachar",CSE 20 - Intro/Discrete Mathematics (A),FA16,143,112,91.7 %,91.7 %,6.19,B+ (3.56),B+ (3.60)
