Department,Course Number,Instructor,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
ECE,ECE 109 ,"Lugannani, Robert",SP18,261,90,85.1,84.9,5.98,3.42,2.74
ECE,ECE 109 ,"Masnadi-Shirazi, Maryam",S116,84,16,86.7,73.3,7.64,3.64,2.53
ECE,ECE 109 ,"Rao, Ramesh R",WI14,78,20,84.2,84.2,7.72,2.63,2.92
ECE,ECE 109 ,"Vardy, Alexander",SP11,129,77,70.1,90.9,9.03,3.01,2.59
ECE,ECE 109 ,"Vardy, Alexander",WI08,106,77,73.7,94.7,6.94,3.23,2.88
ECE,ECE 109 ,"Vardy, Alexander",WI19,114,46,72.1,83.3,8.31,3.1,2.81
ECE,ECE 109 ,"Zeger, Kenneth A.",FA18,91,37,91.2,91.2,6.84,3.11,2.66
ECE,ECE 109 ,"Zeger, Kenneth A.",SP08,76,55,72.7,90.7,4.76,3.17,2.4
ECE,ECE 109 ,"Zeger, Kenneth A.",SP15,106,36,86.1,83.3,6.63,2.8,2.39
ECE,ECE 109 ,"Zeger, Kenneth A.",SP19,163,54,57.4,76.6,7.39,2.67,2.61
ECE,ECE 109 ,"Zeger, Kenneth A.",WI09,112,76,75.3,88.9,6.2,3.19,2.01
ECE,ECE 109 ,"Zeger, Kenneth A.",WI10,103,32,75.0,90.6,4.38,3.29,2.21
ECE,ECE 109 ,"Zeger, Kenneth A.",WI11,145,56,72.2,68.5,7.45,2.51,2.09
ECE,ECE 109 ,"Zeger, Kenneth A.",WI12,107,46,78.3,89.1,5.57,3.0,2.16
ECE,ECE 109 ,"Zeger, Kenneth A.",WI13,128,37,86.5,81.1,6.39,3.29,2.17
ECE,ECE 109 ,"Zeger, Kenneth A.",WI14,85,31,85.2,77.8,6.98,3.04,2.34
ECE,ECE 109 ,"Zeger, Kenneth A.",WI15,129,44,88.1,81.0,6.5,2.79,2.53
ECE,ECE 109 ,"Zeger, Kenneth A.",WI16,107,46,78.6,78.6,7.32,2.65,2.32
ECE,ECE 109 ,"Zeger, Kenneth A.",WI17,126,47,90.9,93.2,6.31,3.1,2.37
ECE,ECE 109 ,"Zeger, Kenneth A.",WI18,77,30,80.0,86.7,5.77,2.93,2.7
ECE,ECE 111 ,"Bendak, Michael Beshara",WI08,34,18,88.9,83.3,6.94,3.44,3.39
ECE,ECE 111 ,"Dey, Sujit",FA10,21,8,87.5,87.5,13.0,3.75,3.64
ECE,ECE 111 ,"Eldon, John",FA08,23,10,100.0,100.0,6.3,3.8,3.46
ECE,ECE 111 ,"Guest, Clark C",FA11,31,10,80.0,66.7,11.39,3.2,3.42
ECE,ECE 111 ,"Guest, Clark C",FA12,50,15,72.7,27.3,9.23,3.45,3.7
ECE,ECE 111 ,"Guest, Clark C",FA13,65,32,69.0,44.8,11.19,3.65,3.39
ECE,ECE 111 ,"Koushanfar, Farinaz",FA16,110,33,48.4,22.6,8.16,3.1,3.14
ECE,ECE 111 ,"Koushanfar, Farinaz",FA17,46,13,66.7,50.0,8.33,3.17,3.07
ECE,ECE 111 ,"Koushanfar, Farinaz",FA18,42,35,68.6,54.3,8.44,3.4,3.58
ECE,ECE 111 ,"Lin, Bill",SP10,49,25,92.0,92.0,10.26,3.79,3.44
ECE,ECE 111 ,"Lin, Bill",SP11,35,12,83.3,100.0,8.83,3.73,3.43
ECE,ECE 111 ,"Lin, Bill",SP12,54,21,95.2,85.7,8.88,3.62,3.38
ECE,ECE 111 ,"Lin, Bill",SP13,66,13,92.3,100.0,7.5,3.58,3.37
ECE,ECE 111 ,"Lin, Bill",SP14,78,23,100.0,85.7,7.64,3.62,3.26
ECE,ECE 111 ,"Lin, Bill",SP17,150,46,86.1,85.4,8.135,3.51,3.09
ECE,ECE 111 ,"Lin, Bill",SP18,119,29,92.5,95.85,6.415,3.64,3.59
ECE,ECE 111 ,"Lin, Bill",WI15,164,46,91.06666666666666,91.1,11.160000000000002,3.6166666666666667,3.35
ECE,ECE 111 ,"Lin, Bill",WI16,184,49,83.1,81.76666666666667,7.916666666666668,3.283333333333333,3.4
ECE,ECE 111 ,"Lin, Bill",WI17,132,47,91.1,97.85,7.425000000000002,3.48,3.39
ECE,ECE 111 ,"Lin, Bill",WI18,104,33,100.0,100.0,6.165,3.765,3.17
ECE,ECE 111 ,"Lin, Bill",WI19,137,45,84.30000000000003,97.85,6.79,3.395,3.41
ECE,ECE 115 ,"Yip, Michael",SP16,20,16,100.0,100.0,11.75,3.69,3.62
ECE,ECE 115 ,"Yip, Michael",SP18,21,15,100.0,100.0,13.97,3.47,3.68
ECE,ECE 115 ,"Yip, Michael",WI17,21,18,100.0,100.0,13.94,3.59,3.69
ECE,ECE 118 ,"Guest, Clark C",SP08,21,18,94.4,83.3,9.39,3.69,3.01
ECE,ECE 118 ,"Guest, Clark C",SP09,24,20,100.0,100.0,6.9,3.2,3.25
ECE,ECE 118 ,"Guest, Clark C",SP10,24,9,100.0,77.8,7.17,3.22,3.17
ECE,ECE 118 ,"Guest, Clark C",SP11,34,15,100.0,80.0,9.7,2.93,3.0
ECE,ECE 118 ,"Guest, Clark C",SP12,34,16,93.8,87.5,10.0,3.47,3.03
ECE,ECE 118 ,"Guest, Clark C",SP13,38,9,87.5,75.0,9.25,3.63,2.92
ECE,ECE 118 ,"Guest, Clark C",SP14,52,13,91.7,75.0,9.17,3.33,3.11
ECE,ECE 120 ,"Quest, Kevin B",SP10,38,13,75.0,100.0,3.88,3.31,3.23
ECE,ECE 120 ,"Quest, Kevin B",SP11,27,9,100.0,88.9,2.94,3.25,3.26
ECE,ECE 120 ,"Quest, Kevin B",SP12,29,10,66.7,100.0,3.1,3.44,3.08
ECE,ECE 120 ,"Quest, Kevin B",SP13,43,12,91.7,100.0,2.67,3.75,3.29
ECE,ECE 120 ,"Quest, Kevin B",SP14,71,21,100.0,94.7,2.61,3.56,2.85
ECE,ECE 120 ,"Quest, Kevin B",SP16,47,17,100.0,100.0,3.88,3.53,3.09
ECE,ECE 120 ,"Quest, Kevin B",SP17,48,11,80.0,100.0,5.3,3.1,3.12
ECE,ECE 120 ,"Quest, Kevin B",SP18,48,14,100.0,100.0,2.96,3.54,3.27
ECE,ECE 120 ,"Quest, Kevin B",SP19,59,19,94.4,94.4,3.94,3.39,3.36
ECE,ECE 121 ,"Esmaili, Gholamreza",WI16,54,18,93.8,100.0,8.21,3.21,2.75
ECE,ECE 121A ,"Esmaili, Gholamreza",FA16,80,29,100.0,96.6,10.29,3.0,2.87
ECE,ECE 121A ,"Esmaili, Gholamreza",FA17,48,12,100.0,100.0,8.14,3.27,3.02
ECE,ECE 121A ,"Esmaili, Gholamreza",FA18,50,14,100.0,83.3,7.42,3.31,3.2
ECE,ECE 121B ,"Esmaili, Gholamreza",WI17,62,14,100.0,100.0,9.93,3.08,2.95
ECE,ECE 121B ,"Esmaili, Gholamreza",WI18,39,16,93.3,92.9,7.17,3.07,3.08
ECE,ECE 121B ,"Esmaili, Gholamreza",WI19,31,14,100.0,100.0,8.21,3.43,2.97
ECE,ECE 123 ,"Sievenpiper, Daniel F.",SP16,42,16,93.8,93.8,7.38,3.29,2.96
ECE,ECE 123 ,"Sievenpiper, Daniel F.",SP17,52,11,100.0,100.0,6.3,3.8,2.94
ECE,ECE 123 ,"Sievenpiper, Daniel F.",SP18,26,17,100.0,100.0,6.15,3.12,2.9
ECE,ECE 123 ,"Sievenpiper, Daniel F.",SP19,37,15,100.0,100.0,6.81,3.75,3.16
ECE,ECE 125A ,"Asbeck, Peter Michael",WI16,55,17,100.0,64.7,9.83,3.19,3.34
ECE,ECE 125A ,"Asbeck, Peter Michael",WI17,72,14,92.9,78.6,9.12,3.07,2.8
ECE,ECE 125A ,"Esmaili, Gholamreza",WI15,59,17,100.0,100.0,9.97,2.71,2.97
ECE,ECE 125A ,"Esmaili, Gholamreza",WI18,42,12,90.9,100.0,8.14,3.45,3.03
ECE,ECE 125A ,"Esmaili, Gholamreza",WI19,28,9,100.0,100.0,9.17,3.44,3.16
ECE,ECE 125B ,"Esmaili, Gholamreza",SP15,38,13,100.0,100.0,9.95,3.5,3.0
ECE,ECE 125B ,"Esmaili, Gholamreza",SP16,41,12,100.0,100.0,9.41,3.36,3.14
ECE,ECE 125B ,"Esmaili, Gholamreza",SP17,43,6,100.0,100.0,9.3,3.5,3.0
ECE,ECE 125B ,"Esmaili, Gholamreza",SP18,33,9,88.9,100.0,11.17,3.33,3.04
ECE,ECE 125B ,"Esmaili, Gholamreza",SP19,26,10,100.0,100.0,9.83,3.22,3.22
ECE,ECE 134 ,"Ng, Tse Nga",SP16,48,23,100.0,100.0,6.21,3.43,2.85
ECE,ECE 134 ,"Ng, Tse Nga",SP17,28,10,100.0,100.0,6.25,3.57,3.21
ECE,ECE 134 ,"Ng, Tse Nga",WI18,23,14,100.0,100.0,5.36,3.29,3.26
